architecture,geometry,traj_start_idx,traj_len,traj_rmse
FNN,circle,0,3889,0.0921476
FNN,circle,3889,1974,0.108924
FNN,ellipse,5863,6602,0.133022
FNN,ellipse,12465,1941,0.0658323
FNN,ellipse,14406,2119,0.0610954
FNN,helix,16525,3852,0.111255
FNN,helix,20377,11952,0.0952488
FNN,lissajous,32329,7153,0.12672
FNN,lissajous,39482,4116,0.0605537
FNN,parabola,43598,2776,0.116363
FNN,parabola,46374,1845,0.0612226
FNN,rectangle,48219,4139,0.1054
FNN,regular_polygon,52358,5678,0.121773
FNN,sine_wave,58036,1633,0.104316
FNN,sine_wave,59669,1748,0.0692797
FNN,spiral,61417,7659,0.101779
FNN,spiral,69076,10682,0.120286
FNN,square,79758,2917,0.107384
FNN,triangle,82675,2636,0.0624337
FNN,triangle,85311,2285,0.118315
Physics-Reg.,circle,0,3889,0.0888959
Physics-Reg.,circle,3889,1974,0.0977923
Physics-Reg.,ellipse,5863,6602,0.11543
Physics-Reg.,ellipse,12465,1941,0.0694291
Physics-Reg.,ellipse,14406,2119,0.057342
Physics-Reg.,helix,16525,3852,0.0979674
Physics-Reg.,helix,20377,11952,0.0959384
Physics-Reg.,lissajous,32329,7153,0.118448
Physics-Reg.,lissajous,39482,4116,0.0623631
Physics-Reg.,parabola,43598,2776,0.102914
Physics-Reg.,parabola,46374,1845,0.0695736
Physics-Reg.,rectangle,48219,4139,0.105842
Physics-Reg.,regular_polygon,52358,5678,0.109825
Physics-Reg.,sine_wave,58036,1633,0.0829112
Physics-Reg.,sine_wave,59669,1748,0.0624624
Physics-Reg.,spiral,61417,7659,0.0836402
Physics-Reg.,spiral,69076,10682,0.10221
Physics-Reg.,square,79758,2917,0.0985019
Physics-Reg.,triangle,82675,2636,0.0639695
Physics-Reg.,triangle,85311,2285,0.105787
EDR,circle,0,3889,0.0787141
EDR,circle,3889,1974,0.101348
EDR,ellipse,5863,6602,0.0968375
EDR,ellipse,12465,1941,0.0773476
EDR,ellipse,14406,2119,0.0641457
EDR,helix,16525,3852,0.092595
EDR,helix,20377,11952,0.117044
EDR,lissajous,32329,7153,0.112057
EDR,lissajous,39482,4116,0.0698354
EDR,parabola,43598,2776,0.0956598
EDR,parabola,46374,1845,0.0746094
EDR,rectangle,48219,4139,0.113436
EDR,regular_polygon,52358,5678,0.127593
EDR,sine_wave,58036,1633,0.080742
EDR,sine_wave,59669,1748,0.0560711
EDR,spiral,61417,7659,0.0878054
EDR,spiral,69076,10682,0.0981127
EDR,square,79758,2917,0.0946786
EDR,triangle,82675,2636,0.0666534
EDR,triangle,85311,2285,0.0995751
