architecture,axis,raw_value,norm_score,lower_is_better
FNN,test_rmse,0.0971708,0.682723,True
Physics-Reg.,test_rmse,0.0895622,0.740723,True
EDR,test_rmse,0.0663408,1,True
FNN,r2_overall,0.861917,0.923143,False
Physics-Reg.,r2_overall,0.88876,0.951892,False
EDR,r2_overall,0.933677,1,False
FNN,mean_mae,0.0744361,0.732989,True
Physics-Reg.,mean_mae,0.0706043,0.77277,True
EDR,mean_mae,0.0545608,1,True
FNN,mean_nrmse,0.0863569,0.696952,True
Physics-Reg.,mean_nrmse,0.0798495,0.753751,True
EDR,mean_nrmse,0.0601866,1,True
FNN,params,69637,0.620608,True
Physics-Reg.,params,539141,0.15,True
EDR,params,13374,1,True
FNN,inference_time_s,7.06602e-05,1,True
Physics-Reg.,inference_time_s,0.0001156,0.777146,True
EDR,inference_time_s,0.000461933,0.15,True
